fdc_id,description,energy_kcal,protein_g,fat_g,carbohydrate_g,caffeine_mg,sugars_g,vitamin_A_ug,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_B6_mg,vitamin_B12_ug,biotin_ug,vitamin_C_mg,choline_mg,vitamin_D_ug,vitamin_E_mg,folic_acid_ug,vitamin_K_ug,calcium_mg,chromium_ug,copper_mg,fluoride_ug,iodine_ug,iron_mg,magnesium_mg,manganese_mg,molybdenum_ug,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,sulfur_mg,zinc_mg
326698,"Mustard, prepared, yellow",61.0,4.25,3.38,5.3,,1.42,4.0,0.18899999999999997,0.066,0.561,0.263,0.069,,,0.4,,,0.35,,1.5,63.0,,0.07400000000000001,,,1.59,47.7,0.42,,108.0,150.0,34.0,1100.0,,0.64
327046,"Kiwifruit, green, raw",58.0,1.06,0.44,14.0,,8.99,4.0,0.027000000000000003,0.025,0.37,0.20600000000000002,0.061,,,74.7,,,1.3,,40.3,35.0,,0.134,,,0.24,15.7,0.064,,34.0,198.0,0.2,5.0,,0.14
327357,"Nectarines, raw",39.0,1.06,0.28,9.18,,7.89,21.0,0.034,0.027000000000000003,1.12,0.185,0.025,,,2.9,,,0.61,,2.0,2.0,,0.08199999999999999,,,0.3,8.8,0.047,,26.0,131.0,0.0,13.0,,0.21
325036,"Cheese, parmesan, grated",421.0,29.6,28.0,12.4,,0.07,228.0,0.027000000000000003,0.345,0.078,0.457,0.081,1.35,,,14.1,,0.51,,1.7,884.0,,0.04,,,0.45,34.9,0.066,,634.0,184.0,35.0,1750.0,,4.33
324860,"Peanut butter, smooth style, with salt (Includes foods for USDA's Food Distribution Program)",597.0,22.5,51.1,22.3,,10.5,,0.138,0.191,13.3,1.11,0.444,,,,,,9.11,,,49.0,,0.42,,,1.73,169.0,1.68,,339.0,564.0,4.1,429.0,,2.54
324653,"Pickles, cucumber, dill or kosher dill",12.0,0.48,0.43,1.99,,1.28,4.0,0.047,0.057,0.109,0.2,0.034,,,2.1,,,0.12,,16.8,54.0,,0.026000000000000002,,,0.23,7.1,0.055999999999999994,,16.0,112.0,,808.0,,0.11
323121,"Frankfurter, beef, unheated",314.0,11.7,28.0,2.89,,1.26,3.0,0.033,0.154,2.25,0.263,0.13,0.97,,,,,0.51,,,15.0,,0.046,,,1.14,11.5,0.031,,128.0,343.0,,872.0,,2.06
321360,"Tomatoes, grape, raw",27.0,0.83,0.63,5.51,,,0.0,0.075,0.065,0.805,,0.06,,,27.2,9.8,,0.98,,4.2,11.0,,0.057999999999999996,,,0.33,11.9,0.121,,28.0,260.0,,6.0,,0.2
321611,"Beans, snap, green, canned, regular pack, drained solids",21.0,1.04,0.39,4.11,,1.29,,,,,,,,,,,,,,,36.0,,0.040999999999999995,,,0.78,12.7,0.17600000000000002,,23.0,97.0,,282.0,,0.19
323294,"Nuts, almonds, dry roasted, with salt added",620.0,20.4,57.8,16.2,,4.17,2.0,0.079,1.57,3.1,0.237,0.075,,,0.0,60.8,,19.0,,0.0,273.0,,0.87,,,3.17,258.0,2.02,,456.0,684.0,0.0,256.0,,2.8
